Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,4,Dry breakbulk carriers,1.6292,,17,,10499,,91649,,14781,,103652,,,,,
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,5,Dry bulk carriers,2.066,,14,,42670,,204014,,77916,,404389,,,,,
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,13,,31057,,76420,,10800,,43878,,,,,
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0392,,15,,9885,,60784,,10706,,64220,,,,,
QINGDAO,42,95.043,China,JEBEL ALI,42,37.549,United Arab Emirates,2022S01,S1   2022,2022,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2313,,11,,101178,,168189,,81703,,155159,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,0,All ships,1.01,,12,,32056,,217673,,43890,,403811,,4644,,21413,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,1,Passenger ships,,,10,,17075,,168666,,,,,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.09,,11,,19404,,172146,,33892,,323527,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,3,Container ships,0.6,,11,,50187,,217673,,,,,,4644,,21413,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.15,,15,,9744,,91784,,14027,,138743,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,1.99,,11,,41091,,203403,,74721,,403811,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29504,,77000,,9715,,43878,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.98,,12,,10094,,49292,,11170,,64220,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S01,S1   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.26,,9,,102691,,168189,,83873,,154940,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,0,All ships,1.04,,12,,32682,,217673,,44703,,404389,,4646,,21413,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,1,Passenger ships,,,11,,18176,,168666,,,,,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,2,Liquid bulk carriers,1.11,,10,,19635,,170004,,34299,,323527,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,3,Container ships,0.63,,11,,50122,,217673,,,,,,4646,,21413,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.19,,15,,10413,,91784,,14961,,138743,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,2,,11,,40877,,203483,,74302,,404389,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29816,,76420,,9901,,43878,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.01,,13,,9632,,58100,,10689,,58899,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2018S02,S2   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.19,,8,,102757,,168189,,82671,,155159,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,0,All ships,1.0458,,12,,31924,,219775,,44509,,404389,,4681,,21413,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,1,Passenger ships,,,11,,15984,,168666,,,,,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,2,Liquid bulk carriers,1.1069,,11,,18503,,172146,,32225,,323183,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,3,Container ships,0.6062,,12,,50166,,219775,,,,,,4681,,21413,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,4,Dry breakbulk carriers,1.2014,,15,,10122,,84503,,14388,,105302,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,5,Dry bulk carriers,1.9813,,12,,41000,,203483,,74504,,404389,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29295,,77000,,9475,,43878,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0021,,14,,9241,,50676,,10275,,58899,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S01,S1   2019,2019,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2083,,10,,98898,,168189,,78972,,155159,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,0,All ships,1.0313,,12,,32389,,232618,,45529,,404389,,4659,,23756,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,1,Passenger ships,,,12,,17154,,169379,,,,,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,2,Liquid bulk carriers,1.0646,,10,,20505,,172146,,35963,,323183,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,3,Container ships,0.5958,,12,,49970,,232618,,,,,,4659,,23756,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,4,Dry breakbulk carriers,1.1667,,16,,10077,,91784,,14323,,138743,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,5,Dry bulk carriers,2.0319,,12,,42121,,204014,,76729,,404389,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29367,,76420,,9472,,43878,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.975,,15,,8023,,59226,,8914,,64220,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2019S02,S2   2019,2019,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1844,,9,,96112,,168189,,75851,,155159,,,,,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,0,All ships,1.0556,,13,,32136,,235500,,45636,,404389,,4665,,23964,
XIAMEN,45,92.212,China,SHIMIZU,45,35.895,Japan,2020S01,S1   2020,2020,S,Semi-annual,156,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,
