,Port Name,Administrative Approach Rank,Total Points,Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
101,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2018S02,S2   2018,2018,S,Semi-annual,156,4,Dry breakbulk carriers,1.19,,15,,10413,,91784,,14961,,138743,,,,,
102,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2018S02,S2   2018,2018,S,Semi-annual,156,5,Dry bulk carriers,2,,11,,40877,,203483,,74302,,404389,,,,,
103,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2018S02,S2   2018,2018,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29816,,76420,,9901,,43878,,,,,
104,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2018S02,S2   2018,2018,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.01,,13,,9632,,58100,,10689,,58899,,,,,
105,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2018S02,S2   2018,2018,S,Semi-annual,156,8,Liquefied natural gas carriers,1.19,,8,,102757,,168189,,82671,,155159,,,,,
106,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,0,All ships,1.0458,,12,,31924,,219775,,44509,,404389,,4681,,21413,
107,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,1,Passenger ships,,,11,,15984,,168666,,,,,,,,,
108,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,2,Liquid bulk carriers,1.1069,,11,,18503,,172146,,32225,,323183,,,,,
109,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,3,Container ships,0.6062,,12,,50166,,219775,,,,,,4681,,21413,
110,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,4,Dry breakbulk carriers,1.2014,,15,,10122,,84503,,14388,,105302,,,,,
111,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,5,Dry bulk carriers,1.9813,,12,,41000,,203483,,74504,,404389,,,,,
112,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29295,,77000,,9475,,43878,,,,,
113,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,7,Liquefied petroleum gas carriers,1.0021,,14,,9241,,50676,,10275,,58899,,,,,
114,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S01,S1   2019,2019,S,Semi-annual,156,8,Liquefied natural gas carriers,1.2083,,10,,98898,,168189,,78972,,155159,,,,,
115,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,0,All ships,1.0313,,12,,32389,,232618,,45529,,404389,,4659,,23756,
116,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,1,Passenger ships,,,12,,17154,,169379,,,,,,,,,
117,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,2,Liquid bulk carriers,1.0646,,10,,20505,,172146,,35963,,323183,,,,,
118,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,3,Container ships,0.5958,,12,,49970,,232618,,,,,,4659,,23756,
119,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,4,Dry breakbulk carriers,1.1667,,16,,10077,,91784,,14323,,138743,,,,,
120,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,5,Dry bulk carriers,2.0319,,12,,42121,,204014,,76729,,404389,,,,,
121,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,6,Roll-on/ roll-off ships,,,14,,29367,,76420,,9472,,43878,,,,,
122,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,7,Liquefied petroleum gas carriers,0.975,,15,,8023,,59226,,8914,,64220,,,,,
123,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2019S02,S2   2019,2019,S,Semi-annual,156,8,Liquefied natural gas carriers,1.1844,,9,,96112,,168189,,75851,,155159,,,,,
124,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,0,All ships,1.0556,,13,,32136,,235500,,45636,,404389,,4665,,23964,
125,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,1,Passenger ships,,,12,,15223,,169379,,,,,,,,,
126,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,2,Liquid bulk carriers,1.1132,,11,,19487,,170004,,34000,,323182,,,,,
127,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,3,Container ships,0.5951,,12,,49840,,235500,,,,,,4665,,23964,
128,NINGBO,7,170.696,China,NINGBO,7,76.077,China,2020S01,S1   2020,2020,S,Semi-annual,156,4,Dry breakbulk carriers,1.2507,,17,,10009,,91649,,14189,,101496,,,,,
