Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Statistic Approach Rank,IndeX Value,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
LONDON,347,-124.535,United Kingdom,347,-54.949,2018S01,S1   2018,2018,S,Semi-annual,926,8,Liquefied natural gas carriers,1.44,,7,,76288,,168189,,62942,,154900,,,,,
PORT LOUIS,323,-61.778,Mauritius,323,-26.003,,,,,,,,,,,,,,,,,,,,,,,,
WALVIS BAY,328,-68.372,Namibia,328,-29.997,,,,,,,,,,,,,,,,,,,,,,,,
TIN CAN ISLAND,339,-98.354,Nigeria,339,-44.345,,,,,,,,,,,,,,,,,,,,,,,,
ONNE,342,-111.104,Nigeria,342,-46.157,,,,,,,,,,,,,,,,,,,,,,,,
LAGOS (NIGERIA),358,-188.317,Nigeria,358,-80.295,,,,,,,,,,,,,,,,,,,,,,,,
DOUALA,340,-106.203,Cameroon,340,-44.552,,,,,,,,,,,,,,,,,,,,,,,,
KRIBI DEEP SEA PORT,355,-174.476,Cameroon,355,-73.209,,,,,,,,,,,,,,,,,,,,,,,,
CHATTOGRAM,341,-109.249,Bangladesh,341,-45.529,,,,,,,,,,,,,,,,,,,,,,,,
COTONOU,348,-130.819,Benin,348,-55.49,,,,,,,,,,,,,,,,,,,,,,,,
LOM?,349,-133.17,Togo,349,-56.728,,,,,,,,,,,,,,,,,,,,,,,,
TEMA,354,-160.565,Ghana,354,-70.175,,,,,,,,,,,,,,,,,,,,,,,,
NOUAKCHOTT,356,-175.532,Mauritania,356,-73.234,,,,,,,,,,,,,,,,,,,,,,,,
ABIDJAN,360,-216.138,Ivory Coast,360,-95.795,,,,,,,,,,,,,,,,,,,,,,,,
DAR ES SALAAM,361,-248.798,Tanzania,361,-105.753,,,,,,,,,,,,,,,,,,,,,,,,
LUANDA,366,-442.446,Angola,366,-174.675,,,,,,,,,,,,,,,,,,,,,,,,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,0,All ships,0.97,,18,,15222,,234006,,24074,,441561,,3526,,21413,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,1,Passenger ships,,,21,,8978,,228081,,,,,,,,,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,2,Liquid bulk carriers,0.94,,13,,15470,,234006,,26871,,441561,,,,,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,3,Container ships,0.69,,13,,38405,,217673,,,,,,3526,,21413,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,4,Dry breakbulk carriers,1.12,,19,,5455,,91784,,7413,,138743,,,,,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,5,Dry bulk carriers,2.1,,13,,32136,,203403,,57574,,404389,,,,,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,6,Roll-on/ roll-off ships,,,17,,25291,,100430,,10192,,55828,,,,,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,7,Liquefied petroleum gas carriers,1,,14,,10548,,57509,,11915,,64220,,,,,
,,,World,,,2018S01,S1   2018,2018,S,Semi-annual,0,8,Liquefied natural gas carriers,1.11,,11,,92660,,168189,,72117,,155159,,,,,
