Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,2,Liquid bulk carriers,1658,
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,3,Container ships,2230,
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,4,Dry breakbulk carriers,2623,
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,5,Dry bulk carriers,1652,
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,6,Roll-on/ roll-off ships,825,
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,7,Liquefied petroleum gas carriers,204,
2021S01,S1   2021,2021,S,Semi-annual,1614,LDCs: Africa,8,Liquefied natural gas carriers,27,
2021S01,S1   2021,2021,S,Semi-annual,1615,LDCs: Islands and Haiti,0,All ships,753,
2021S01,S1   2021,2021,S,Semi-annual,1615,LDCs: Islands and Haiti,2,Liquid bulk carriers,88,
2021S01,S1   2021,2021,S,Semi-annual,1615,LDCs: Islands and Haiti,3,Container ships,175,
2021S01,S1   2021,2021,S,Semi-annual,1615,LDCs: Islands and Haiti,4,Dry breakbulk carriers,291,
2021S01,S1   2021,2021,S,Semi-annual,1615,LDCs: Islands and Haiti,5,Dry bulk carriers,94,
2021S01,S1   2021,2021,S,Semi-annual,1615,LDCs: Islands and Haiti,6,Roll-on/ roll-off ships,79,
2021S01,S1   2021,2021,S,Semi-annual,1615,LDCs: Islands and Haiti,7,Liquefied petroleum gas carriers,26,
2021S01,S1   2021,2021,S,Semi-annual,1620,LLDCs (Landlocked developing countries),0,All ships,3521,
2021S01,S1   2021,2021,S,Semi-annual,1620,LLDCs (Landlocked developing countries),1,Passenger ships,519,
2021S01,S1   2021,2021,S,Semi-annual,1620,LLDCs (Landlocked developing countries),2,Liquid bulk carriers,1028,
2021S01,S1   2021,2021,S,Semi-annual,1620,LLDCs (Landlocked developing countries),4,Dry breakbulk carriers,1507,
2021S01,S1   2021,2021,S,Semi-annual,1620,LLDCs (Landlocked developing countries),6,Roll-on/ roll-off ships,467,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),0,All ships,10808,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),1,Passenger ships,2690,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),2,Liquid bulk carriers,2087,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),3,Container ships,2680,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),4,Dry breakbulk carriers,2163,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),5,Dry bulk carriers,435,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),6,Roll-on/ roll-off ships,446,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),7,Liquefied petroleum gas carriers,239,
2021S01,S1   2021,2021,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),8,Liquefied natural gas carriers,68,
2021S01,S1   2021,2021,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,0,All ships,1348,
2021S01,S1   2021,2021,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,2,Liquid bulk carriers,458,
2021S01,S1   2021,2021,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,3,Container ships,288,
2021S01,S1   2021,2021,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,4,Dry breakbulk carriers,432,
2021S01,S1   2021,2021,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,5,Dry bulk carriers,133,
2021S01,S1   2021,2021,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,6,Roll-on/ roll-off ships,16,
2021S01,S1   2021,2021,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,7,Liquefied petroleum gas carriers,21,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,0,All ships,8227,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,1,Passenger ships,2353,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,2,Liquid bulk carriers,1482,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,3,Container ships,2060,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,4,Dry breakbulk carriers,1386,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,5,Dry bulk carriers,288,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,6,Roll-on/ roll-off ships,410,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,7,Liquefied petroleum gas carriers,180,
2021S01,S1   2021,2021,S,Semi-annual,1632,SIDS: Caribbean,8,Liquefied natural gas carriers,68,
2021S01,S1   2021,2021,S,Semi-annual,1633,SIDS: Pacific,0,All ships,1233,
2021S01,S1   2021,2021,S,Semi-annual,1633,SIDS: Pacific,1,Passenger ships,337,
2021S01,S1   2021,2021,S,Semi-annual,1633,SIDS: Pacific,2,Liquid bulk carriers,147,
2021S01,S1   2021,2021,S,Semi-annual,1633,SIDS: Pacific,3,Container ships,332,
2021S01,S1   2021,2021,S,Semi-annual,1633,SIDS: Pacific,4,Dry breakbulk carriers,345,
2021S01,S1   2021,2021,S,Semi-annual,1633,SIDS: Pacific,5,Dry bulk carriers,14,
2021S01,S1   2021,2021,S,Semi-annual,1633,SIDS: Pacific,6,Roll-on/ roll-off ships,20,
2021S01,S1   2021,2021,S,Semi-annual,1633,SIDS: Pacific,7,Liquefied petroleum gas carriers,38,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),0,All ships,48288,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),1,Passenger ships,5989,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),2,Liquid bulk carriers,19878,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),3,Container ships,12213,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),4,Dry breakbulk carriers,5956,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),5,Dry bulk carriers,1847,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),6,Roll-on/ roll-off ships,1496,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),7,Liquefied petroleum gas carriers,687,
2021S01,S1   2021,2021,S,Semi-annual,1640,SIDS (Small island developing States) (UN-OHRLLS),8,Liquefied natural gas carriers,222,
2021S01,S1   2021,2021,S,Semi-annual,191,Croatia,0,All ships,31442,
2021S01,S1   2021,2021,S,Semi-annual,191,Croatia,1,Passenger ships,30359,
2021S01,S1   2021,2021,S,Semi-annual,191,Croatia,2,Liquid bulk carriers,310,
2021S01,S1   2021,2021,S,Semi-annual,191,Croatia,3,Container ships,197,
2021S01,S1   2021,2021,S,Semi-annual,191,Croatia,4,Dry breakbulk carriers,421,
2021S01,S1   2021,2021,S,Semi-annual,191,Croatia,5,Dry bulk carriers,155,
2021S01,S1   2021,2021,S,Semi-annual,208,Denmark,0,All ships,50774,
2021S01,S1   2021,2021,S,Semi-annual,208,Denmark,1,Passenger ships,43381,
2021S01,S1   2021,2021,S,Semi-annual,208,Denmark,2,Liquid bulk carriers,1316,
2021S01,S1   2021,2021,S,Semi-annual,208,Denmark,3,Container ships,623,
2021S01,S1   2021,2021,S,Semi-annual,208,Denmark,4,Dry breakbulk carriers,4459,
