Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,2,Liquid bulk carriers,1569,
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,3,Container ships,2462,
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,4,Dry breakbulk carriers,2671,
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,5,Dry bulk carriers,1592,
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,6,Roll-on/ roll-off ships,819,
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,7,Liquefied petroleum gas carriers,223,
2020S01,S1   2020,2020,S,Semi-annual,1611,LDCs: Africa and Haiti,8,Liquefied natural gas carriers,36,
2020S01,S1   2020,2020,S,Semi-annual,1612,LDCs: Asia,0,All ships,3168,
2020S01,S1   2020,2020,S,Semi-annual,1612,LDCs: Asia,1,Passenger ships,15,
2020S01,S1   2020,2020,S,Semi-annual,1612,LDCs: Asia,2,Liquid bulk carriers,712,
2020S01,S1   2020,2020,S,Semi-annual,1612,LDCs: Asia,3,Container ships,1451,
2020S01,S1   2020,2020,S,Semi-annual,1612,LDCs: Asia,4,Dry breakbulk carriers,464,
2020S01,S1   2020,2020,S,Semi-annual,1612,LDCs: Asia,5,Dry bulk carriers,436,
2020S01,S1   2020,2020,S,Semi-annual,1612,LDCs: Asia,6,Roll-on/ roll-off ships,11,
2020S01,S1   2020,2020,S,Semi-annual,1612,LDCs: Asia,7,Liquefied petroleum gas carriers,79,
2020S01,S1   2020,2020,S,Semi-annual,1613,LDCs: Islands,0,All ships,255,
2020S01,S1   2020,2020,S,Semi-annual,1613,LDCs: Islands,2,Liquid bulk carriers,28,
2020S01,S1   2020,2020,S,Semi-annual,1613,LDCs: Islands,3,Container ships,63,
2020S01,S1   2020,2020,S,Semi-annual,1613,LDCs: Islands,4,Dry breakbulk carriers,164,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,0,All ships,9296,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,1,Passenger ships,457,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,2,Liquid bulk carriers,1508,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,3,Container ships,2359,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,4,Dry breakbulk carriers,2485,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,5,Dry bulk carriers,1514,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,6,Roll-on/ roll-off ships,758,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,7,Liquefied petroleum gas carriers,179,
2020S01,S1   2020,2020,S,Semi-annual,1614,LDCs: Africa,8,Liquefied natural gas carriers,36,
2020S01,S1   2020,2020,S,Semi-annual,1615,LDCs: Islands and Haiti,0,All ships,805,
2020S01,S1   2020,2020,S,Semi-annual,1615,LDCs: Islands and Haiti,1,Passenger ships,17,
2020S01,S1   2020,2020,S,Semi-annual,1615,LDCs: Islands and Haiti,2,Liquid bulk carriers,89,
2020S01,S1   2020,2020,S,Semi-annual,1615,LDCs: Islands and Haiti,3,Container ships,166,
2020S01,S1   2020,2020,S,Semi-annual,1615,LDCs: Islands and Haiti,4,Dry breakbulk carriers,350,
2020S01,S1   2020,2020,S,Semi-annual,1615,LDCs: Islands and Haiti,5,Dry bulk carriers,78,
2020S01,S1   2020,2020,S,Semi-annual,1615,LDCs: Islands and Haiti,6,Roll-on/ roll-off ships,61,
2020S01,S1   2020,2020,S,Semi-annual,1615,LDCs: Islands and Haiti,7,Liquefied petroleum gas carriers,44,
2020S01,S1   2020,2020,S,Semi-annual,1620,LLDCs (Landlocked developing countries),0,All ships,3130,
2020S01,S1   2020,2020,S,Semi-annual,1620,LLDCs (Landlocked developing countries),1,Passenger ships,590,
2020S01,S1   2020,2020,S,Semi-annual,1620,LLDCs (Landlocked developing countries),2,Liquid bulk carriers,829,
2020S01,S1   2020,2020,S,Semi-annual,1620,LLDCs (Landlocked developing countries),4,Dry breakbulk carriers,1262,
2020S01,S1   2020,2020,S,Semi-annual,1620,LLDCs (Landlocked developing countries),6,Roll-on/ roll-off ships,449,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),0,All ships,14244,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),1,Passenger ships,6047,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),2,Liquid bulk carriers,2122,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),3,Container ships,3098,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),4,Dry breakbulk carriers,1831,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),5,Dry bulk carriers,312,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),6,Roll-on/ roll-off ships,482,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),7,Liquefied petroleum gas carriers,253,
2020S01,S1   2020,2020,S,Semi-annual,1630,SIDS (Small island developing States) (analytical),8,Liquefied natural gas carriers,99,
2020S01,S1   2020,2020,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,0,All ships,2432,
2020S01,S1   2020,2020,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,1,Passenger ships,1090,
2020S01,S1   2020,2020,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,2,Liquid bulk carriers,427,
2020S01,S1   2020,2020,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,3,Container ships,415,
2020S01,S1   2020,2020,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,4,Dry breakbulk carriers,388,
2020S01,S1   2020,2020,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,5,Dry bulk carriers,81,
2020S01,S1   2020,2020,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,6,Roll-on/ roll-off ships,12,
2020S01,S1   2020,2020,S,Semi-annual,1631,SIDS: Atlantic and Indian Ocean,7,Liquefied petroleum gas carriers,19,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,0,All ships,10372,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,1,Passenger ships,4472,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,2,Liquid bulk carriers,1557,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,3,Container ships,2322,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,4,Dry breakbulk carriers,1041,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,5,Dry bulk carriers,231,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,6,Roll-on/ roll-off ships,452,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,7,Liquefied petroleum gas carriers,198,
2020S01,S1   2020,2020,S,Semi-annual,1632,SIDS: Caribbean,8,Liquefied natural gas carriers,99,
2020S01,S1   2020,2020,S,Semi-annual,1633,SIDS: Pacific,0,All ships,1440,
2020S01,S1   2020,2020,S,Semi-annual,1633,SIDS: Pacific,1,Passenger ships,485,
2020S01,S1   2020,2020,S,Semi-annual,1633,SIDS: Pacific,2,Liquid bulk carriers,138,
