Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,QINZHOU,127,-0.523,148,8.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,QUY NHON,79,-1.163,104,16.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,SHANTOU,91,-0.935,117,12.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,SHEKOU,9,-3.726,5,94.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,SHIMIZU,12,-3.361,24,59.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,THESSALONIKI,284,1.229,284,-22.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,"WILMINGTON (NORTH CAROLINA, USA)",155,-0.237,67,30.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,YANGSHAN,28,-2.733,10,87.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,YANTIAN,29,-2.724,17,73.0
2020,S,Semi-annual,156,China,0,All ships,1.0556,,13,,32136,,235500,,45636.0,,404389.0,,4665.0,,23964.0,,ZHOUSHAN,20,-2.963,8,88.0
