Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2020S01,S1   2020,2020,S,Semi-annual,410,"Korea, Republic of",6,Roll-on/ roll-off ships,,,18,,29822,,76420,,12030.0,,43878.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,410,"Korea, Republic of",7,Liquefied petroleum gas carriers,0.8674,,17,,7986,,49394,,8647.0,,58811.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,410,"Korea, Republic of",8,Liquefied natural gas carriers,1.025,,12,,109849,,168189,,86196.0,,155159.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,0,All ships,0.5889,,17,,13223,,235500,,14360.0,,320926.0,,2997.0,,23964.0,
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,1,Passenger ships,,,15,,14748,,150695,,,,,,,,,
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,2,Liquid bulk carriers,0.5472,,16,,9914,,166308,,18084.0,,320926.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,3,Container ships,0.7917,,14,,32410,,235500,,,,,,2997.0,,23964.0,
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,4,Dry breakbulk carriers,0.4,,19,,3830,,71543,,5200.0,,88272.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,5,Dry bulk carriers,0.2111,,11,,34763,,118305,,61408.0,,233584.0,,,,,
2020S01,S1   2020,2020,S,Semi-annual,528,Netherlands,6,Roll-on/ roll-off ships,,,22,,16876,,76420,,6704.0,,32246.0,,,,,
