DATAFLOW,LAST UPDATE,freq,direct,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2010,3159120,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2011,3266566,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2012,3241805,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2013,3215906,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2014,3287210,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2015,3343755,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2016,3376704,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2017,3476076,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2018,3584537,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2019,3587258,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU27_2020,2020,3325646,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2010,3670995,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2011,3786060,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2012,3742665,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2013,3719231,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2014,3790381,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2015,3840463,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2016,3860752,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2017,3957890,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2018,4067843,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,EU28,2019,4073351,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2010,109326,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2011,115452,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2012,105120,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2013,105117,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2014,105537,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2015,99962,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2016,105022,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2017,109320,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2018,117108,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2019,120488,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2020,109211,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FI,2021,102518,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2010,316137,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2011,322254,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2012,303269,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2013,303031,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2014,298203,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2015,297880,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2016,292160,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2017,302840,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2018,308629,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2019,302288,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,FR,2020,274511,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2010,24329,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2011,21862,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2012,18972,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2013,19366,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2014,18603,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2015,18930,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2016,18551,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2017,20798,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2018,21573,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2019,20580,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2020,21410,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,HR,2021,21644,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2010,45071,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2011,45078,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2012,47649,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2013,46722,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2014,47483,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2015,50666,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2016,50758,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2017,53351,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2018,55120,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2019,53251,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2020,51425,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IE,2021,54027,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2010,6001,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2011,6105,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2012,6389,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2013,6833,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2014,6674,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2015,7137,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2016,7446,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2017,7672,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2018,7263,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2019,7662,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IS,2020,6969,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2010,494091,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2011,499885,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2012,476823,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2013,457078,
ESTAT:TTR00009(1.0),2004/10/22 11:00,A,TOTAL,THS_T,IT,2014,443141,
