Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",3,Container ships,0.57,,13,,30389,,217673,,,,,,2821,,20776,
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",4,Dry breakbulk carriers,1.27,,18,,5461,,58265,,8217,,138743,,,,,
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",5,Dry bulk carriers,2.23,,13,,29027,,172146,,52818,,327095,,,,,
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",6,Roll-on/ roll-off ships,,,19,,23697,,77000,,10135,,39516,,,,,
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",7,Liquefied petroleum gas carriers,0.71,,15,,7251,,48963,,8031,,58585,,,,,
2018S01,S1   2018,2018,S,Semi-annual,410,"Korea, Republic of",8,Liquefied natural gas carriers,1.03,,10,,112224,,168189,,88429,,155159,,,,,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,0,All ships,0.56,,15,,12993,,217673,,14058,,320926,,2854,,21413,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,1,Passenger ships,,,13,,15810,,168028,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,2,Liquid bulk carriers,0.51,,15,,9447,,170004,,17325,,320926,,,,,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,3,Container ships,0.8,,12,,30924,,217673,,,,,,2854,,21413,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,4,Dry breakbulk carriers,0.35,,18,,4057,,84503,,5384,,105302,,,,,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,5,Dry bulk carriers,0.66,,10,,36328,,134692,,65185,,262000,,,,,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,6,Roll-on/ roll-off ships,,,21,,14289,,77000,,5949,,48988,,,,,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,7,Liquefied petroleum gas carriers,0.93,,11,,7038,,48456,,7961,,58063,,,,,
2018S01,S1   2018,2018,S,Semi-annual,528,Netherlands,8,Liquefied natural gas carriers,1.4,,5,,65743,,136980,,51694,,121910,,,,,
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,0,All ships,0.43,,17,,4412,,171598,,6935,,209177,,788,,1856,
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,1,Passenger ships,,,17,,4264,,171598,,,,,,,,,
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,2,Liquid bulk carriers,0.61,,16,,11755,,94729,,18588,,164746,,,,,
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,3,Container ships,0.32,,15,,8443,,21586,,,,,,788,,1856,
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,4,Dry breakbulk carriers,0.34,,22,,2818,,51065,,3297,,72148,,,,,
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,5,Dry bulk carriers,0.89,,20,,16315,,108237,,27211,,209177,,,,,
2018S01,S1   2018,2018,S,Semi-annual,579,Norway,6,Roll-on/ roll-off ships,,,14,,9786,,37985,,5669,,15990,,,,,
