,Period Label,Year,Location,Vessel Type,Median time in port (days),Average age of vessels,Average size (GT) of vessels,Maximum size (GT) of vessels,Average cargo carrying capacity (dwt) per vessel,Maximum cargo carrying capacity (dwt) of vessels,Average container carrying capacity (TEU) per container ship,Maximum container carrying capacity (TEU) of container ships
26,S1-2018,2018,China,Passenger ships,,10,17075,168666,,,,
27,S1-2018,2018,China,Liquid bulk carriers,1.09,11,19404,172146,33892.0,323527.0,,
28,S1-2018,2018,China,Container ships,0.6,11,50187,217673,,,4644.0,21413.0
29,S1-2018,2018,China,Dry breakbulk carriers,1.15,15,9744,91784,14027.0,138743.0,,
30,S1-2018,2018,China,Dry bulk carriers,1.99,11,41091,203403,74721.0,403811.0,,
31,S1-2018,2018,China,Roll-on/ roll-off ships,,14,29504,77000,9715.0,43878.0,,
32,S1-2018,2018,China,Liquefied petroleum gas carriers,0.98,12,10094,49292,11170.0,64220.0,,
33,S1-2018,2018,China,Liquefied natural gas carriers,1.26,9,102691,168189,83873.0,154940.0,,
34,S1-2018,2018,Croatia,All ships,1.18,15,3904,143521,17120.0,182060.0,3427.0,13100.0
35,S1-2018,2018,Croatia,Passenger ships,,15,3516,133596,,,,
36,S1-2018,2018,Croatia,Liquid bulk carriers,1.02,13,17998,84844,31738.0,164274.0,,
37,S1-2018,2018,Croatia,Container ships,0.55,13,37578,143521,,,3427.0,13100.0
38,S1-2018,2018,Croatia,Dry breakbulk carriers,2.87,21,4544,19426,6152.0,26931.0,,
39,S1-2018,2018,Croatia,Dry bulk carriers,2.09,33,9724,93360,16659.0,182060.0,,
40,S1-2018,2018,Denmark,All ships,0.74,18,9710,214286,7460.0,299991.0,1911.0,19630.0
41,S1-2018,2018,Denmark,Passenger ships,,18,10060,145655,,,,
42,S1-2018,2018,Denmark,Liquid bulk carriers,0.64,16,8235,156919,13327.0,299991.0,,
43,S1-2018,2018,Denmark,Container ships,0.48,12,20595,214286,,,1911.0,19630.0
44,S1-2018,2018,Denmark,Dry breakbulk carriers,0.85,23,2982,24778,4079.0,37534.0,,
45,S1-2018,2018,Denmark,Dry bulk carriers,0.84,29,9688,65950,15462.0,118863.0,,
46,S1-2018,2018,Denmark,Roll-on/ roll-off ships,,18,20990,52485,11985.0,24485.0,,
47,S1-2018,2018,Denmark,Liquefied petroleum gas carriers,1.08,14,4087,9126,4403.0,10300.0,,
48,S1-2018,2018,France,All ships,1.11,16,23254,228081,17264.0,323183.0,4917.0,20776.0
49,S1-2018,2018,France,Passenger ships,,17,24685,228081,,,,
50,S1-2018,2018,France,Liquid bulk carriers,1.06,13,13308,166308,22763.0,323183.0,,
51,S1-2018,2018,France,Container ships,0.76,12,54780,217673,,,4917.0,20776.0
52,S1-2018,2018,France,Dry breakbulk carriers,1.44,16,4668,40322,6544.0,81279.0,,
53,S1-2018,2018,France,Dry bulk carriers,3.22,12,27518,94710,48728.0,181458.0,,
54,S1-2018,2018,France,Roll-on/ roll-off ships,,15,28381,76420,11484.0,46705.0,,
55,S1-2018,2018,France,Liquefied petroleum gas carriers,1.08,11,7895,48456,8703.0,55056.0,,
56,S1-2018,2018,France,Liquefied natural gas carriers,1.21,9,98115,163922,76111.0,130441.0,,
57,S1-2018,2018,Germany,All ships,0.58,18,13497,217673,8428.0,317106.0,3825.0,21413.0
58,S1-2018,2018,Germany,Passenger ships,,19,12183,171598,,,,
59,S1-2018,2018,Germany,Liquid bulk carriers,0.36,18,4469,160278,7497.0,317106.0,,
60,S1-2018,2018,Germany,Container ships,0.79,12,41922,217673,,,3825.0,21413.0
61,S1-2018,2018,Germany,Dry breakbulk carriers,0.54,19,3468,71543,4669.0,69990.0,,
62,S1-2018,2018,Germany,Dry bulk carriers,2.43,12,29157,107684,51453.0,209177.0,,
63,S1-2018,2018,Germany,Roll-on/ roll-off ships,,15,28585,100430,11847.0,55828.0,,
