,Period Label,Year,Location,Vessel Type,Median time in port (days),Average age of vessels,Average size (GT) of vessels,Maximum size (GT) of vessels,Average cargo carrying capacity (dwt) per vessel,Maximum cargo carrying capacity (dwt) of vessels,Average container carrying capacity (TEU) per container ship,Maximum container carrying capacity (TEU) of container ships
278,S2-2018,2018,Japan,Liquefied petroleum gas carriers,0.32,16,5931,48963,6476.0,58811.0,,
279,S2-2018,2018,Japan,Liquefied natural gas carriers,1.0,12,78194,151500,55912.0,122052.0,,
280,S2-2018,2018,"Korea, Republic of",All ships,0.81,14,21185,217673,22057.0,327095.0,2951.0,20776.0
281,S2-2018,2018,"Korea, Republic of",Passenger ships,,18,15668,144216,,,,
282,S2-2018,2018,"Korea, Republic of",Liquid bulk carriers,0.8,13,13648,170000,23748.0,321300.0,,
283,S2-2018,2018,"Korea, Republic of",Container ships,0.62,13,32003,217673,,,2951.0,20776.0
284,S2-2018,2018,"Korea, Republic of",Dry breakbulk carriers,1.3,17,5735,46112,8836.0,138743.0,,
285,S2-2018,2018,"Korea, Republic of",Dry bulk carriers,2.42,13,29489,172146,53319.0,327095.0,,
286,S2-2018,2018,"Korea, Republic of",Roll-on/ roll-off ships,,18,25463,76420,10707.0,43878.0,,
287,S2-2018,2018,"Korea, Republic of",Liquefied petroleum gas carriers,0.74,15,7479,49288,8210.0,56824.0,,
288,S2-2018,2018,"Korea, Republic of",Liquefied natural gas carriers,1.04,10,113798,168189,89721.0,155159.0,,
289,S2-2018,2018,Netherlands,All ships,0.57,15,13182,217673,14104.0,323527.0,2917.0,21413.0
290,S2-2018,2018,Netherlands,Passenger ships,,13,15802,183200,,,,
291,S2-2018,2018,Netherlands,Liquid bulk carriers,0.48,15,9432,170004,17099.0,323527.0,,
292,S2-2018,2018,Netherlands,Container ships,0.76,12,31501,217673,,,2917.0,21413.0
293,S2-2018,2018,Netherlands,Dry breakbulk carriers,0.45,18,4067,71543,5358.0,72927.0,,
294,S2-2018,2018,Netherlands,Dry bulk carriers,0.93,10,36597,108237,65622.0,207810.0,,
295,S2-2018,2018,Netherlands,Roll-on/ roll-off ships,,21,13652,77000,5717.0,32246.0,,
296,S2-2018,2018,Netherlands,Liquefied petroleum gas carriers,0.96,10,7401,48060,8157.0,55066.0,,
297,S2-2018,2018,Netherlands,Liquefied natural gas carriers,1.19,5,59958,136980,47251.0,121946.0,,
298,S2-2018,2018,Norway,All ships,0.43,17,4221,171598,6818.0,319994.0,778.0,1300.0
299,S2-2018,2018,Norway,Passenger ships,,17,4078,171598,,,,
300,S2-2018,2018,Norway,Liquid bulk carriers,0.6,15,11175,163257,17724.0,319994.0,,
301,S2-2018,2018,Norway,Container ships,0.34,15,8308,15633,,,778.0,1300.0
302,S2-2018,2018,Norway,Dry breakbulk carriers,0.34,22,2787,39258,3297.0,55807.0,,
303,S2-2018,2018,Norway,Dry bulk carriers,0.86,17,16614,108237,28099.0,207721.0,,
304,S2-2018,2018,Norway,Roll-on/ roll-off ships,,14,10280,55598,5945.0,19844.0,,
305,S2-2018,2018,Norway,Liquefied petroleum gas carriers,0.75,11,10672,47379,12085.0,58677.0,,
306,S2-2018,2018,Norway,Liquefied natural gas carriers,0.37,10,21553,136739,15242.0,87677.0,,
307,S2-2018,2018,Russian Federation,All ships,1.26,23,9329,171598,13878.0,180183.0,1542.0,7564.0
308,S2-2018,2018,Russian Federation,Passenger ships,,18,6983,171598,,,,
309,S2-2018,2018,Russian Federation,Liquid bulk carriers,0.98,22,11326,87146,19000.0,166468.0,,
310,S2-2018,2018,Russian Federation,Container ships,1.45,15,17283,89097,,,1542.0,7564.0
311,S2-2018,2018,Russian Federation,Dry breakbulk carriers,1.39,28,3824,38226,4883.0,53021.0,,
312,S2-2018,2018,Russian Federation,Dry bulk carriers,2.5,14,24717,94710,43010.0,180183.0,,
313,S2-2018,2018,Russian Federation,Roll-on/ roll-off ships,,25,10197,44891,5950.0,22910.0,,
314,S2-2018,2018,Russian Federation,Liquefied petroleum gas carriers,1.32,9,11567,27546,13080.0,27014.0,,
315,S2-2018,2018,Russian Federation,Liquefied natural gas carriers,1.07,7,111436,144828,81634.0,97000.0,,
316,S2-2018,2018,Spain,All ships,0.87,17,15668,228081,13876.0,299999.0,3183.0,20776.0
317,S2-2018,2018,Spain,Passenger ships,,20,13519,228081,,,,
318,S2-2018,2018,Spain,Liquid bulk carriers,0.84,11,10726,160534,17617.0,299999.0,,
319,S2-2018,2018,Spain,Container ships,0.67,13,35008,217673,,,3183.0,20776.0
320,S2-2018,2018,Spain,Dry breakbulk carriers,1.14,15,5169,51065,7253.0,88666.0,,
321,S2-2018,2018,Spain,Dry bulk carriers,2.28,13,24954,108237,43597.0,207672.0,,
322,S2-2018,2018,Spain,Roll-on/ roll-off ships,,16,21334,77000,7481.0,48988.0,,
323,S2-2018,2018,Spain,Liquefied petroleum gas carriers,0.97,11,7189,48963,8206.0,54656.0,,
324,S2-2018,2018,Spain,Liquefied natural gas carriers,1.06,11,98650,137535,77586.0,121963.0,,
325,S2-2018,2018,Sweden,All ships,0.8,22,15343,214286,8624.0,164445.0,1537.0,19630.0
326,S2-2018,2018,Sweden,Passenger ships,,24,18409,145655,,,,
327,S2-2018,2018,Sweden,Liquid bulk carriers,0.69,14,8375,93147,13008.0,164445.0,,
328,S2-2018,2018,Sweden,Container ships,0.61,13,16730,214286,,,1537.0,19630.0
329,S2-2018,2018,Sweden,Dry breakbulk carriers,1.05,19,3501,26787,4937.0,38330.0,,
330,S2-2018,2018,Sweden,Dry bulk carriers,0.49,28,7190,51147,10668.0,87665.0,,
331,S2-2018,2018,Sweden,Roll-on/ roll-off ships,,19,25108,76420,11332.0,31143.0,,
332,S2-2018,2018,Sweden,Liquefied petroleum gas carriers,0.84,14,6954,47347,7765.0,54481.0,,
333,S2-2018,2018,Sweden,Liquefied natural gas carriers,0.62,3,9876,22887,6766.0,20918.0,,
334,S2-2018,2018,Türkiye,All ships,1.15,23,5573,162960,15252.0,316373.0,3125.0,15226.0
335,S2-2018,2018,Türkiye,Passenger ships,,24,1683,99526,,,,
336,S2-2018,2018,Türkiye,Liquid bulk carriers,1.12,13,17343,162960,30039.0,316373.0,,
337,S2-2018,2018,Türkiye,Container ships,0.63,15,34567,153744,,,3125.0,15226.0
338,S2-2018,2018,Türkiye,Dry breakbulk carriers,1.48,26,3914,43528,5524.0,81279.0,,
339,S2-2018,2018,Türkiye,Dry bulk carriers,3.82,13,25050,94984,43260.0,182644.0,,
340,S2-2018,2018,Türkiye,Roll-on/ roll-off ships,,26,21108,76420,8912.0,46705.0,,
341,S2-2018,2018,Türkiye,Liquefied petroleum gas carriers,1.35,16,19319,48542,22777.0,58677.0,,
342,S2-2018,2018,Türkiye,Liquefied natural gas carriers,1.34,11,111026,136980,90432.0,121957.0,,
343,S2-2018,2018,United States of America,All ships,1.37,24,16311,228081,46524.0,321300.0,5399.0,14568.0
344,S2-2018,2018,United States of America,Passenger ships,,28,7970,228081,,,,
345,S2-2018,2018,United States of America,Liquid bulk carriers,1.64,10,36153,172146,62860.0,321300.0,,
346,S2-2018,2018,United States of America,Container ships,1.01,12,60411,171542,,,5399.0,14568.0
347,S2-2018,2018,United States of America,Dry breakbulk carriers,1.81,16,12141,66870,16146.0,73296.0,,
348,S2-2018,2018,United States of America,Dry bulk carriers,1.41,20,28321,106385,50652.0,206699.0,,
349,S2-2018,2018,United States of America,Roll-on/ roll-off ships,,12,55153,100430,20928.0,55828.0,,
350,S2-2018,2018,United States of America,Liquefied petroleum gas carriers,2.05,8,30668,57509,34993.0,59138.0,,
351,S2-2018,2018,United States of America,Liquefied natural gas carriers,1.25,5,92957,136894,73837.0,97000.0,,
352,S2-2018,2018,United Kingdom,All ships,1.1,17,13784,217673,12258.0,323183.0,3382.0,21413.0
353,S2-2018,2018,United Kingdom,Passenger ships,,18,12463,171598,,,,
354,S2-2018,2018,United Kingdom,Liquid bulk carriers,1.06,13,12485,170004,20834.0,323183.0,,
355,S2-2018,2018,United Kingdom,Container ships,0.73,13,36476,217673,,,3382.0,21413.0
356,S2-2018,2018,United Kingdom,Dry breakbulk carriers,1.46,17,3306,71543,4540.0,55807.0,,
357,S2-2018,2018,United Kingdom,Dry bulk carriers,2.97,12,26152,94818,45374.0,182342.0,,
358,S2-2018,2018,United Kingdom,Roll-on/ roll-off ships,,15,24780,100430,10270.0,55828.0,,
359,S2-2018,2018,United Kingdom,Liquefied petroleum gas carriers,1.08,11,6789,47454,7224.0,54684.0,,
360,S2-2018,2018,United Kingdom,Liquefied natural gas carriers,1.39,5,90070,163922,72978.0,130442.0,,
361,S1-2019,2019,World,All ships,0.9646,18,15177,228081,24647.0,404389.0,3525.0,23000.0
362,S1-2019,2019,World,Passenger ships,,21,8949,228081,,,,
363,S1-2019,2019,World,Liquid bulk carriers,0.9306,14,15665,172146,27250.0,323183.0,,
364,S1-2019,2019,World,Container ships,0.6931,13,38272,219775,,,3525.0,23000.0
365,S1-2019,2019,World,Dry breakbulk carriers,1.1028,20,5484,91784,7490.0,138743.0,,
366,S1-2019,2019,World,Dry bulk carriers,2.0104,13,32164,203483,57520.0,404389.0,,
367,S1-2019,2019,World,Roll-on/ roll-off ships,,17,25390,100430,10195.0,55828.0,,
368,S1-2019,2019,World,Liquefied petroleum gas carriers,1.0229,15,10435,59226,11785.0,64220.0,,
369,S1-2019,2019,World,Liquefied natural gas carriers,1.1069,11,96064,168189,74458.0,155159.0,,
370,S1-2019,2019,Australia,All ships,1.4014,20,24755,168666,78064.0,299688.0,4465.0,8500.0
371,S1-2019,2019,Australia,Passenger ships,,29,4487,168666,,,,
372,S1-2019,2019,Australia,Liquid bulk carriers,1.249,8,23279,84789,39811.0,165293.0,,
373,S1-2019,2019,Australia,Container ships,1.1222,12,48043,91051,,,4465.0,8500.0
374,S1-2019,2019,Australia,Dry breakbulk carriers,1.7181,13,17605,54686,24802.0,83500.0,,
375,S1-2019,2019,Australia,Dry bulk carriers,1.5569,10,59021,152219,110556.0,299688.0,,
376,S1-2019,2019,Australia,Roll-on/ roll-off ships,,13,39585,76420,15250.0,43878.0,,
377,S1-2019,2019,Australia,Liquefied petroleum gas carriers,0.9104,10,12194,50676,14062.0,58899.0,,
378,S1-2019,2019,Australia,Liquefied natural gas carriers,1.2205,9,112493,151500,84541.0,97730.0,,
379,S1-2019,2019,Canada,All ships,0.9125,25,12961,172146,35333.0,322861.0,5382.0,14220.0
380,S1-2019,2019,Canada,Passenger ships,,27,8034,168666,,,,
381,S1-2019,2019,Canada,Liquid bulk carriers,1.2264,12,22554,172146,37702.0,322861.0,,
382,S1-2019,2019,Canada,Container ships,1.5965,13,59247,153666,,,5382.0,14220.0
383,S1-2019,2019,Canada,Dry breakbulk carriers,0.2833,9,10447,43528,13175.0,62841.0,,
384,S1-2019,2019,Canada,Dry bulk carriers,0.5431,21,29289,109224,50946.0,210966.0,,
385,S1-2019,2019,Canada,Roll-on/ roll-off ships,,25,14310,100430,7557.0,55828.0,,
386,S1-2019,2019,China,All ships,1.0458,12,31924,219775,44509.0,404389.0,4681.0,21413.0
387,S1-2019,2019,China,Passenger ships,,11,15984,168666,,,,
388,S1-2019,2019,China,Liquid bulk carriers,1.1069,11,18503,172146,32225.0,323183.0,,
389,S1-2019,2019,China,Container ships,0.6062,12,50166,219775,,,4681.0,21413.0
390,S1-2019,2019,China,Dry breakbulk carriers,1.2014,15,10122,84503,14388.0,105302.0,,
391,S1-2019,2019,China,Dry bulk carriers,1.9813,12,41000,203483,74504.0,404389.0,,
392,S1-2019,2019,China,Roll-on/ roll-off ships,,14,29295,77000,9475.0,43878.0,,
393,S1-2019,2019,China,Liquefied petroleum gas carriers,1.0021,14,9241,50676,10275.0,58899.0,,
394,S1-2019,2019,China,Liquefied natural gas carriers,1.2083,10,98898,168189,78972.0,155159.0,,
395,S1-2019,2019,Croatia,All ships,1.275,16,3903,153744,15540.0,180157.0,3867.0,15226.0
396,S1-2019,2019,Croatia,Passenger ships,,16,3530,135500,,,,
397,S1-2019,2019,Croatia,Liquid bulk carriers,1.0444,14,16242,84789,28060.0,165293.0,,
398,S1-2019,2019,Croatia,Container ships,0.7135,14,42372,153744,,,3867.0,15226.0
399,S1-2019,2019,Croatia,Dry breakbulk carriers,2.6493,23,4817,23119,6320.0,29980.0,,
400,S1-2019,2019,Croatia,Dry bulk carriers,2.5187,33,10073,94710,17441.0,180157.0,,
401,S1-2019,2019,Denmark,All ships,0.7583,19,9786,214286,7945.0,164565.0,1841.0,19630.0
402,S1-2019,2019,Denmark,Passenger ships,,19,10095,171598,,,,
403,S1-2019,2019,Denmark,Liquid bulk carriers,0.6847,16,8321,93147,13421.0,164565.0,,
404,S1-2019,2019,Denmark,Container ships,0.4403,17,20738,214286,,,1841.0,19630.0
405,S1-2019,2019,Denmark,Dry breakbulk carriers,0.9233,23,3070,26770,4179.0,37979.0,,
406,S1-2019,2019,Denmark,Dry bulk carriers,0.8167,27,10646,47984,17276.0,87340.0,,
407,S1-2019,2019,Denmark,Roll-on/ roll-off ships,,19,20210,52485,11867.0,24485.0,,
408,S1-2019,2019,Denmark,Liquefied petroleum gas carriers,1.0347,10,4336,20151,4842.0,24303.0,,
409,S1-2019,2019,France,All ships,1.1031,17,23397,225282,17542.0,322398.0,5090.0,20776.0
410,S1-2019,2019,France,Passenger ships,,18,24661,225282,,,,
411,S1-2019,2019,France,Liquid bulk carriers,1.0181,12,12200,165571,20882.0,319398.0,,
412,S1-2019,2019,France,Container ships,0.7549,13,56377,217673,,,5090.0,20776.0
413,S1-2019,2019,France,Dry breakbulk carriers,1.5701,16,4521,37499,6340.0,61026.0,,
414,S1-2019,2019,France,Dry bulk carriers,2.8486,13,25541,155051,44819.0,322398.0,,
415,S1-2019,2019,France,Roll-on/ roll-off ships,,15,29174,76420,11543.0,46705.0,,
416,S1-2019,2019,France,Liquefied petroleum gas carriers,1.1118,11,8480,48060,9382.0,58899.0,,
417,S1-2019,2019,France,Liquefied natural gas carriers,1.1354,8,105122,168189,83239.0,154940.0,,
418,S1-2019,2019,Germany,All ships,0.5007,18,13549,219775,8485.0,207219.0,3913.0,21413.0
419,S1-2019,2019,Germany,Passenger ships,,19,12541,171598,,,,
420,S1-2019,2019,Germany,Liquid bulk carriers,0.3424,17,4677,93147,7759.0,163417.0,,
421,S1-2019,2019,Germany,Container ships,0.759,12,42713,219775,,,3913.0,21413.0
422,S1-2019,2019,Germany,Dry breakbulk carriers,0.3792,20,3554,71543,4858.0,62980.0,,
423,S1-2019,2019,Germany,Dry bulk carriers,2.6309,12,30468,107514,53708.0,207219.0,,
424,S1-2019,2019,Germany,Roll-on/ roll-off ships,,15,29057,100430,11979.0,55828.0,,
425,S1-2019,2019,Germany,Liquefied petroleum gas carriers,0.7437,13,5595,25299,6155.0,38427.0,,
426,S1-2019,2019,Greece,All ships,0.7566,21,8803,217612,7653.0,318325.0,3839.0,21413.0
427,S1-2019,2019,Greece,Passenger ships,,20,8189,168666,,,,
428,S1-2019,2019,Greece,Liquid bulk carriers,0.5424,21,5349,162542,8495.0,318325.0,,
429,S1-2019,2019,Greece,Container ships,1.0882,15,41553,217612,,,3839.0,21413.0
430,S1-2019,2019,Greece,Dry breakbulk carriers,1.1146,31,2895,51065,4009.0,72148.0,,
431,S1-2019,2019,Greece,Dry bulk carriers,0.3708,25,6569,45271,11036.0,84867.0,,
432,S1-2019,2019,Greece,Roll-on/ roll-off ships,,32,19594,76500,8426.0,31143.0,,
433,S1-2019,2019,Greece,Liquefied petroleum gas carriers,0.9035,27,4872,45805,5628.0,53293.0,,
434,S1-2019,2019,Greece,Liquefied natural gas carriers,1.0993,11,97737,136739,78455.0,95785.0,,
435,S1-2019,2019,Indonesia,All ships,1.3056,20,8248,163882,18329.0,300361.0,1485.0,11356.0
436,S1-2019,2019,Indonesia,Passenger ships,,21,5179,150695,,,,
437,S1-2019,2019,Indonesia,Liquid bulk carriers,1.1493,15,7717,163882,11976.0,300361.0,,
438,S1-2019,2019,Indonesia,Container ships,1.0597,14,15629,131332,,,1485.0,11356.0
439,S1-2019,2019,Indonesia,Dry breakbulk carriers,1.3472,19,5178,48191,6792.0,62806.0,,
440,S1-2019,2019,Indonesia,Dry bulk carriers,3.9201,15,28318,119595,50361.0,226415.0,,
441,S1-2019,2019,Indonesia,Roll-on/ roll-off ships,,31,9152,76299,3926.0,22699.0,,
442,S1-2019,2019,Indonesia,Liquefied petroleum gas carriers,1.151,20,9693,49292,10838.0,58811.0,,
443,S1-2019,2019,Indonesia,Liquefied natural gas carriers,1.3778,22,89342,151500,68750.0,97730.0,,
444,S1-2019,2019,Italy,All ships,1.2667,26,10360,225282,18916.0,322398.0,4047.0,19462.0
445,S1-2019,2019,Italy,Passenger ships,,29,7368,225282,,,,
446,S1-2019,2019,Italy,Liquid bulk carriers,1.2646,17,17607,170004,30002.0,319861.0,,
447,S1-2019,2019,Italy,Container ships,0.8847,15,44631,194849,,,4047.0,19462.0
448,S1-2019,2019,Italy,Dry breakbulk carriers,1.8844,18,6077,46295,8410.0,72914.0,,
449,S1-2019,2019,Italy,Dry bulk carriers,3.4535,13,23028,155051,39356.0,322398.0,,
450,S1-2019,2019,Italy,Roll-on/ roll-off ships,,14,30942,77000,12645.0,46705.0,,
451,S1-2019,2019,Italy,Liquefied petroleum gas carriers,1.3729,13,8661,25994,9814.0,29191.0,,
452,S1-2019,2019,Japan,All ships,0.4125,14,11753,219688,15561.0,400000.0,1695.0,20150.0
453,S1-2019,2019,Japan,Passenger ships,,16,6497,168666,,,,
454,S1-2019,2019,Japan,Liquid bulk carriers,0.3083,12,8253,166414,14086.0,323183.0,,
455,S1-2019,2019,Japan,Container ships,0.35,13,17701,219688,,,1695.0,20150.0
456,S1-2019,2019,Japan,Dry breakbulk carriers,1.1819,15,6907,61185,9770.0,138743.0,,
457,S1-2019,2019,Japan,Dry bulk carriers,0.9111,14,17851,198980,31261.0,400000.0,,
458,S1-2019,2019,Japan,Roll-on/ roll-off ships,,12,18438,77000,7724.0,43878.0,,
459,S1-2019,2019,Japan,Liquefied petroleum gas carriers,0.3424,16,6660,50676,7347.0,58811.0,,
460,S1-2019,2019,Japan,Liquefied natural gas carriers,0.9854,13,77872,151500,55544.0,122052.0,,
461,S1-2019,2019,"Korea, Republic of",All ships,0.7813,15,19061,217673,21434.0,327095.0,2840.0,23000.0
462,S1-2019,2019,"Korea, Republic of",Passenger ships,,18,14848,144216,,,,
463,S1-2019,2019,"Korea, Republic of",Liquid bulk carriers,0.7465,13,13686,170004,23753.0,321050.0,,
464,S1-2019,2019,"Korea, Republic of",Container ships,0.5722,13,30521,217673,,,2840.0,23000.0
465,S1-2019,2019,"Korea, Republic of",Dry breakbulk carriers,1.1812,18,5395,84503,7832.0,138743.0,,
466,S1-2019,2019,"Korea, Republic of",Dry bulk carriers,1.9823,13,28167,172521,50660.0,327095.0,,
467,S1-2019,2019,"Korea, Republic of",Roll-on/ roll-off ships,,18,25987,76420,10721.0,43878.0,,
468,S1-2019,2019,"Korea, Republic of",Liquefied petroleum gas carriers,0.7632,16,6733,59226,7391.0,58757.0,,
469,S1-2019,2019,"Korea, Republic of",Liquefied natural gas carriers,1.0319,11,112613,168189,88643.0,155159.0,,
470,S1-2019,2019,Netherlands,All ships,0.566,16,13256,219775,14585.0,322861.0,2937.0,21413.0
471,S1-2019,2019,Netherlands,Passenger ships,,13,15361,168666,,,,
472,S1-2019,2019,Netherlands,Liquid bulk carriers,0.4972,16,9892,170004,18230.0,322861.0,,
473,S1-2019,2019,Netherlands,Container ships,0.7882,13,31757,219775,,,2937.0,21413.0
474,S1-2019,2019,Netherlands,Dry breakbulk carriers,0.3979,19,3858,91784,5211.0,116173.0,,
475,S1-2019,2019,Netherlands,Dry bulk carriers,0.6694,10,36557,151596,65442.0,300660.0,,
476,S1-2019,2019,Netherlands,Roll-on/ roll-off ships,,22,14705,77000,6089.0,48988.0,,
477,S1-2019,2019,Netherlands,Liquefied petroleum gas carriers,0.9747,11,7222,48963,8024.0,58690.0,,
478,S1-2019,2019,Netherlands,Liquefied natural gas carriers,1.0868,5,62679,128806,49482.0,97730.0,,
479,S1-2019,2019,Norway,All ships,0.4063,17,4232,171598,6922.0,209200.0,787.0,1678.0
480,S1-2019,2019,Norway,Passenger ships,,17,4093,171598,,,,
481,S1-2019,2019,Norway,Liquid bulk carriers,0.6049,15,11425,88099,18290.0,159513.0,,
482,S1-2019,2019,Norway,Container ships,0.3042,16,8336,17189,,,787.0,1678.0
483,S1-2019,2019,Norway,Dry breakbulk carriers,0.3146,23,2838,51065,3327.0,72562.0,,
484,S1-2019,2019,Norway,Dry bulk carriers,0.8528,18,18149,108237,30601.0,209200.0,,
485,S1-2019,2019,Norway,Roll-on/ roll-off ships,,17,10140,73358,6096.0,21500.0,,
486,S1-2019,2019,Norway,Liquefied petroleum gas carriers,0.7646,11,10753,48051,12088.0,55047.0,,
487,S1-2019,2019,Norway,Liquefied natural gas carriers,0.4479,11,19930,136739,14110.0,95785.0,,
488,S1-2019,2019,Russian Federation,All ships,1.3271,23,12884,171598,19079.0,206960.0,1544.0,7100.0
489,S1-2019,2019,Russian Federation,Passenger ships,,30,18806,171598,,,,
490,S1-2019,2019,Russian Federation,Liquid bulk carriers,1.0701,22,15177,87146,25884.0,166468.0,,
491,S1-2019,2019,Russian Federation,Container ships,1.3132,16,17443,85676,,,1544.0,7100.0
492,S1-2019,2019,Russian Federation,Dry breakbulk carriers,1.7222,29,4082,43994,5228.0,80500.0,,
493,S1-2019,2019,Russian Federation,Dry bulk carriers,1.9764,14,26128,107413,45238.0,206960.0,,
494,S1-2019,2019,Russian Federation,Roll-on/ roll-off ships,,27,10553,60975,5606.0,22910.0,,
495,S1-2019,2019,Russian Federation,Liquefied petroleum gas carriers,1.2375,9,10550,18425,11998.0,23495.0,,
496,S1-2019,2019,Russian Federation,Liquefied natural gas carriers,1.1139,6,102497,128975,75594.0,96958.0,,
497,S1-2019,2019,Spain,All ships,0.8701,17,16080,225282,13776.0,313049.0,3194.0,20776.0
498,S1-2019,2019,Spain,Passenger ships,,20,13837,225282,,,,
499,S1-2019,2019,Spain,Liquid bulk carriers,0.9,11,11040,87827,18097.0,167294.0,,
500,S1-2019,2019,Spain,Container ships,0.6552,14,35140,217673,,,3194.0,20776.0
501,S1-2019,2019,Spain,Dry breakbulk carriers,1.1292,15,5048,46295,7084.0,81279.0,,
502,S1-2019,2019,Spain,Dry bulk carriers,1.8226,16,22957,151915,39988.0,313049.0,,
503,S1-2019,2019,Spain,Roll-on/ roll-off ships,,17,21977,77000,7610.0,48988.0,,
504,S1-2019,2019,Spain,Liquefied petroleum gas carriers,0.9281,11,8211,48963,9446.0,55209.0,,
505,S1-2019,2019,Spain,Liquefied natural gas carriers,1.0215,11,87812,163922,68982.0,130208.0,,
506,S1-2019,2019,Sweden,All ships,0.7958,22,15524,214286,9371.0,162397.0,1603.0,19630.0
507,S1-2019,2019,Sweden,Passenger ships,,24,18508,145655,,,,
508,S1-2019,2019,Sweden,Liquid bulk carriers,0.6799,14,8439,93147,13023.0,162397.0,,
509,S1-2019,2019,Sweden,Container ships,0.6181,14,17682,214286,,,1603.0,19630.0
510,S1-2019,2019,Sweden,Dry breakbulk carriers,1.0681,20,3763,37499,5285.0,56023.0,,
511,S1-2019,2019,Sweden,Dry bulk carriers,0.3465,25,11751,44407,18515.0,82139.0,,
512,S1-2019,2019,Sweden,Roll-on/ roll-off ships,,19,25882,76420,11540.0,39516.0,,
513,S1-2019,2019,Sweden,Liquefied petroleum gas carriers,0.8531,14,7356,47379,8287.0,54555.0,,
514,S1-2019,2019,Türkiye,All ships,1.1681,25,5544,176490,15797.0,319616.0,3193.0,15908.0
515,S1-2019,2019,Türkiye,Passenger ships,,26,1629,99836,,,,
516,S1-2019,2019,Türkiye,Liquid bulk carriers,1.1299,13,18574,170004,32337.0,319616.0,,
517,S1-2019,2019,Türkiye,Container ships,0.6382,16,35283,176490,,,3193.0,15908.0
518,S1-2019,2019,Türkiye,Dry breakbulk carriers,1.475,27,4013,45349,5612.0,62942.0,,
519,S1-2019,2019,Türkiye,Dry bulk carriers,3.7306,14,24510,96452,42046.0,183123.0,,
520,S1-2019,2019,Türkiye,Roll-on/ roll-off ships,,27,20920,77000,8461.0,46704.0,,
521,S1-2019,2019,Türkiye,Liquefied petroleum gas carriers,1.2736,14,18371,48022,21194.0,55115.0,,
522,S1-2019,2019,Türkiye,Liquefied natural gas carriers,1.2792,12,110462,136980,89371.0,122006.0,,
523,S1-2019,2019,United States of America,All ships,1.4826,24,16678,228081,47024.0,322829.0,5364.0,19462.0
524,S1-2019,2019,United States of America,Passenger ships,,28,8256,228081,,,,
525,S1-2019,2019,United States of America,Liquid bulk carriers,1.6799,10,35727,166414,61993.0,322829.0,,
526,S1-2019,2019,United States of America,Container ships,1.0358,13,59506,193489,,,5364.0,19462.0
527,S1-2019,2019,United States of America,Dry breakbulk carriers,1.7927,17,11848,66870,15914.0,73296.0,,
528,S1-2019,2019,United States of America,Dry bulk carriers,2.1833,18,29308,107514,51995.0,207219.0,,
529,S1-2019,2019,United States of America,Roll-on/ roll-off ships,,13,57539,100430,21020.0,55828.0,,
530,S1-2019,2019,United States of America,Liquefied petroleum gas carriers,1.9358,9,30712,59226,35200.0,59138.0,,
531,S1-2019,2019,United States of America,Liquefied natural gas carriers,1.3208,6,96026,143000,77326.0,121963.0,,
532,S1-2019,2019,United Kingdom,All ships,1.0799,17,13625,219775,12722.0,319994.0,3400.0,21413.0
533,S1-2019,2019,United Kingdom,Passenger ships,,18,12040,171598,,,,
534,S1-2019,2019,United Kingdom,Liquid bulk carriers,1.0476,14,12364,164680,20588.0,319994.0,,
535,S1-2019,2019,United Kingdom,Container ships,0.7396,14,36769,219775,,,3400.0,21413.0
536,S1-2019,2019,United Kingdom,Dry breakbulk carriers,1.4858,19,3253,71543,4497.0,56816.0,,
537,S1-2019,2019,United Kingdom,Dry bulk carriers,1.9139,13,26735,93297,45816.0,182618.0,,
538,S1-2019,2019,United Kingdom,Roll-on/ roll-off ships,,16,24690,100430,10233.0,55828.0,,
539,S1-2019,2019,United Kingdom,Liquefied petroleum gas carriers,1.0951,12,6740,59226,7173.0,54361.0,,
540,S1-2019,2019,United Kingdom,Liquefied natural gas carriers,1.3556,8,109716,168189,90834.0,155159.0,,
541,S2-2019,2019,World,All ships,0.9667,18,14799,234006,24513.0,441585.0,3507.0,23756.0
542,S2-2019,2019,World,Passenger ships,,21,8779,228081,,,,
543,S2-2019,2019,World,Liquid bulk carriers,0.9389,14,15737,234006,27322.0,441585.0,,
544,S2-2019,2019,World,Container ships,0.691,13,38075,232618,,,3507.0,23756.0
545,S2-2019,2019,World,Dry breakbulk carriers,1.1014,20,5469,91784,7505.0,138743.0,,
546,S2-2019,2019,World,Dry bulk carriers,2.0014,14,31864,204014,57012.0,404389.0,,
547,S2-2019,2019,World,Roll-on/ roll-off ships,,17,25169,100430,10011.0,55828.0,,
548,S2-2019,2019,World,Liquefied petroleum gas carriers,1.0063,14,10179,59226,11480.0,64220.0,,
549,S2-2019,2019,World,Liquefied natural gas carriers,1.109,10,94922,168189,73784.0,156000.0,,
550,S2-2019,2019,Australia,All ships,1.4583,20,25938,168666,79711.0,299688.0,4553.0,9971.0
551,S2-2019,2019,Australia,Passenger ships,,28,4303,168666,,,,
552,S2-2019,2019,Australia,Liquid bulk carriers,1.3465,8,24907,157225,42567.0,297085.0,,
553,S2-2019,2019,Australia,Container ships,1.2389,12,49429,109712,,,4553.0,9971.0
554,S2-2019,2019,Australia,Dry breakbulk carriers,1.65,13,17522,54567,24444.0,80500.0,,
555,S2-2019,2019,Australia,Dry bulk carriers,1.6021,10,59321,152219,111221.0,299688.0,,
