,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEASURE - Metric tons in millions
,YEAR,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
    Northern Africa,Total goods discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,163.0283141,179.0698902,183.572576,190.299153,204.493243,159.230516,167.471744,181.585862,207.044766,224.944766,223.959022,223.008723,233.752123,242.899123,221.899123
    Sub-Saharan Africa,Crude oil loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,224.5201174,232.8248236,246.239564,233.955704,221.011406,244.296,236.2702,231.3117,236.447,230.224,213.67452,207.72452,209.001,210.578999,181.678999
    Sub-Saharan Africa,Other tanker trade loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.549765,19.248791,21.450123,17.517974,16.512596,26.889015,30.921439,29.29355,30.409545,26.613545,29.063583,40.1125,41.776455,48.614058,45.684058
    Sub-Saharan Africa,Dry cargo loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,196.8897638,205.2244174,221.3518065,200.9350755,222.7704686,235.7497076,234.8014196,264.4526476,263.8477926,280.6433076,280.4762456,288.3905206,289.7439048,303.8220748,302.1120748
    Sub-Saharan Africa,Total goods loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,442.9596462,457.298032,489.0414935,452.4087535,460.2944706,506.9347226,501.9930586,525.0578976,530.7043376,537.4808526,523.2143486,536.2275406,540.5213598,563.0151318,529.4751318
    Sub-Saharan Africa,Crude oil discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.295944,38.174026,33.7153,32.356892,30.755748,29.6358,23.8025,26.845,29.79,31.65,29.2,28.926,25.064,25.959,24.344
    Sub-Saharan Africa,Other tanker trade discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.17447103,29.55851503,26.381969,24.733965,24.196137,30.434793,36.100321,37.409384,39.617207,42.906207,52.602526,60.920883,63.910864,70.436316,69.016316
    Sub-Saharan Africa,Dry cargo discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,125.5148634,133.6200643,133.3507742,138.8114382,141.2623272,140.4763042,155.375581,160.980803,168.73736,175.435679,174.272921,163.14931,179.08231,194.37931,194.799151
    Sub-Saharan Africa,Total goods discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,185.9852785,201.3526053,193.4480432,195.9022952,196.2142122,200.5468972,215.278402,225.235187,238.144567,249.991886,256.075447,252.996193,268.057174,290.774626,288.159467
      Eastern Africa,Crude oil loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0.059,0.096,3.286,3.186
      Eastern Africa,Other tanker trade loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.463946,0.431467,0.298497,0,0,0.359659,0.466611,0.399487,0.399487,0.403487,0.549525,2.768442,4.065397,8.384,8.264
      Eastern Africa,Dry cargo loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.048876,21.07049961,22.16332261,19.59739961,20.33259961,18.25687461,16.39033861,15.44919761,16.65002561,16.51502561,17.19287661,17.28135661,19.2736378,19.7906188,19.2906188
      Eastern Africa,Total goods loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.512822,21.50196661,22.46181961,19.59739961,20.33259961,18.61653361,16.85694961,15.84868461,17.04951261,16.91851261,17.74240161,20.10879861,23.4350348,31.4606188,30.7406188
      Eastern Africa,Crude oil discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.123,2.123,1.773,1.737,1.87206,1.42,1.772,1.872,0.6,0.6,0.349,0.7,0.262,0.735,0
      Eastern Africa,Other tanker trade discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.138041,7.942566,6.94666,8.513846,7.902316,8.613416,9.755275,8.68101,10.922216,9.367216,13.633216,16.613916,16.128216,19.078916,18.868916
      Eastern Africa,Dry cargo discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.813177,18.99611466,20.094447,17.937724,19.772038,21.916975,22.176485,24.892427,25.834542,29.016861,30.970892,32.898281,37.122281,52.454281,52.534122
      Eastern Africa,Total goods discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.074218,29.06168066,28.814107,28.18857,29.546414,31.950391,33.70376,35.445437,37.356758,38.984077,44.953108,50.212197,53.512497,72.268197,71.403038
      Middle Africa,Crude oil loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113.95292,122.68292,134.181564,129.26418,124.450406,129.336,128.4172,131.701,124.302,124.879,124.154,112.548,110.229,105.437,100.637
      Middle Africa,Other tanker trade loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.564,2.624334,5.849698,1.9792,2.032098,6.015098,7.0677,5.928,6.563,6.463,7.551,6.707,7.825,7.525,6.976
      Middle Africa,Dry cargo loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.258831882,7.763929882,8.964399882,8.502095882,9.170016,9.302318,11.272573,12.830573,11.130573,12.630573,13.630573,13.9353,16.6883,16.3863,16.1763
      Middle Africa,Total goods loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122.7757519,133.0711839,148.9956619,139.7454759,135.65252,144.653416,146.757473,150.459573,141.995573,143.972573,145.335573,133.1903,134.7423,129.3483,123.7893
      Middle Africa,Crude oil discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.139,2.8035,1.743,1.870468,1.618788,1.42,0.865,1.6,1.9,1.9,2.12,2.82,1.324,1.332,1.122
      Middle Africa,Other tanker trade discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.684129,1.891129,2.795141,2.749226,2.749226,3.837843,4.355726,4.432726,3.940343,6.322343,8.388343,8.612,5.835,6.895,6.885
      Middle Africa,Dry cargo discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.327457,7.65380816,8.93395416,9.87399416,11.39249416,12.02839516,13.82864,15.9314,17.213237,16.513237,15.553237,16.453237,21.233237,27.802237,28.002237
      Middle Africa,Total goods discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.150586,12.34843716,13.47209516,14.49368816,15.76050816,17.28623816,19.049366,21.964126,23.05358,24.73558,26.06158,27.885237,28.392237,36.029237,36.009237
      Southern Africa,Crude oil loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.005,0.005,0.2988,0.268,0.284,0,0,0.5107,0,0,0,0,0,0,0
      Southern Africa,Other tanker trade loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.92,5.92,6.165528,5.084,5.38904,2.45,3.9445,3.969005,3.3,3,3.216,3.6,4.616,5.63,5.17
      Southern Africa,Dry cargo loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,129.862726,129.862726,136.041419,131.478596,139.46495,150.7406,159.833718,161.550628,163.35,174.65,166.969,173.756,168.93,173.106,173.106
      Southern Africa,Total goods loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135.787726,135.787726,142.505747,136.830596,145.13799,153.1906,163.778218,166.030333,166.65,177.65,170.185,177.356,173.546,178.736,178.276
      Southern Africa,Crude oil discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.62517,25.62517,23.406,21.963,20.758,21.698,15.869,17.023,21.54,23.2,23.006,20.03,18.903,19.47,18.87
      Southern Africa,Other tanker trade discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.600513735,2.600513735,3.146508,2.682,2.497374,2.478,4.52,4.455,8.455,8.455,9.131,8.163,10.75,11.46,11.56
      Southern Africa,Dry cargo discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.14098795,39.14098795,42.786962,44.796362,36.947648,26.816093,30.515705,29.028811,27.03,25.67,27.042,21.107,24.647,23.243,22.983
      Southern Africa,Total goods discharged,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.36667168,67.36667168,69.33947,69.441362,60.203022,50.992093,50.904705,50.506811,57.025,57.325,59.179,49.3,54.3,54.173,53.413
      Western Africa,Crude oil loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110.5621974,110.1369036,111.7592,104.423524,96.277,114.96,107.853,99.1,112.145,105.345,89.52052,95.11752,98.676,101.855999,77.855999
      Western Africa,Other tanker trade loaded,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.601819,10.27299,9.1364,10.454774,9.091458,18.064258,19.442628,18.997058,20.147058,16.747058,17.747058,27.037058,25.270058,27.075058,25.274058
